year,punt1,punt2,punt3,windkracht6,windkracht7,windkracht8,windkracht9,windkracht10,windkracht11,windkracht13,north,east,south,west,northeast,southeast,southwest,northwest,highhumidity,lowhumidity,aveghumidity,neerslag
1997,928,791,814,92,32,5,0,0,0,0,16,12,10,21,12,5,39,14,122,0,7,656.5
1998,964,826,848,81,49,7,2,0,0,0,13,2,7,34,6,0,56,21,138,0,1,1206.7
1999,913,818,831,96,47,7,1,0,0,0,10,8,15,30,17,3,52,16,145,0,6,1020.6
2000,-1,-1,-1,96,48,4,1,0,0,0,10,3,18,27,17,4,51,19,145,0,4,971.4
